Date,Open,High,Low,Close,Adj Close,Volume
2014-04-03,807000,815000,798000,803000,798274.25,123499
2014-04-04,779000,796000,779000,790000,785350.6875,161559
2014-04-07,764000,769000,736000,739000,734650.875,443232
2014-04-08,723000,749000,720000,742000,737633.1875,275706
2014-04-09,759000,761000,748000,748000,743597.9375,158217
2014-04-10,775000,777000,756000,765000,760497.875,193150
2014-04-11,735000,744000,734000,741000,736639.1875,172831
2014-04-14,738000,752000,735000,743000,738627.375,99708
2014-04-15,748000,751000,731000,734000,729680.3125,114950
2014-04-16,740000,753000,738000,750000,745586.125,124110
2014-04-17,750000,750000,730000,737000,732662.5625,144491
2014-04-18,739000,755000,738000,750000,745586.125,120779
2014-04-21,752000,759000,749000,757000,752545,48567
2014-04-22,774000,793000,767000,793000,788333.0625,196086
2014-04-23,798000,798000,780000,780000,775409.625,92763
2014-04-24,790000,797000,775000,777000,772427.25,118003
2014-04-25,770000,776000,744000,748000,743597.9375,157838
2014-04-28,737000,740000,727000,734000,729680.3125,134655
2014-04-29,727000,739000,726000,730000,725703.875,99445
2014-04-30,734000,743000,730000,738000,733656.75,121174
2014-05-02,747000,751000,739000,739000,734650.875,114257
2014-05-07,726000,735000,710000,731000,726697.9375,154821
2014-05-08,732000,740000,705000,705000,700851,292020
2014-05-09,699000,708000,675000,691000,686933.375,410148
2014-05-12,693000,723000,693000,719000,714768.5625,195021
2014-05-13,740000,750000,732000,749000,744592,205812
2014-05-14,743000,758000,739000,758000,753539,158199
2014-05-15,761000,776000,757000,762000,757515.5,211820
2014-05-16,757000,765000,744000,752000,747574.4375,158975
2014-05-19,748000,755000,727000,735000,730674.375,142060
2014-05-20,736000,757000,736000,756000,751550.8125,114076
2014-05-21,750000,779000,749000,773000,768450.8125,171725
2014-05-22,780000,788000,772000,778000,773421.375,131424
2014-05-23,778000,780000,772000,776000,771433.125,53916
2014-05-26,749000,766000,742000,745000,740615.5625,209440
2014-05-27,744000,761000,742000,755000,750556.75,134968
2014-05-28,758000,778000,755000,778000,773421.375,121774
2014-05-29,778000,784000,768000,772000,767456.625,106209
2014-05-30,774000,783000,758000,758000,753539,113376
2014-06-02,759000,766000,756000,762000,757515.5,50439
2014-06-03,758000,761000,742000,755000,750556.75,112910
2014-06-05,774000,775000,741000,743000,738627.375,106172
2014-06-09,757000,774000,752000,768000,763480.25,134714
2014-06-10,766000,788000,757000,783000,778391.875,145162
2014-06-11,788000,800000,780000,786000,781374.25,149648
2014-06-12,793000,803000,788000,795000,790321.3125,118596
2014-06-13,793000,793000,780000,785000,780380.125,57578
2014-06-16,778000,794000,772000,794000,789327.1875,54346
2014-06-17,794000,794000,777000,780000,775409.625,74952
2014-06-18,775000,779000,763000,775000,770439,74605
2014-06-19,779000,787000,769000,777000,772427.25,74778
2014-06-20,775000,787000,775000,787000,782368.375,99910
2014-06-23,792000,826000,787000,826000,821138.875,211054
2014-06-24,822000,833000,820000,825000,820144.75,112720
2014-06-25,828000,840000,817000,822000,817162.4375,60800
2014-06-26,825000,850000,825000,849000,844003.5,122850
2014-06-27,840000,844000,828000,832000,827103.5625,74199
2014-06-30,842000,842000,824000,835000,830085.875,74129
2014-07-01,828000,849000,824000,844000,839032.875,60261
2014-07-02,853000,865000,843000,847000,842015.25,86204
2014-07-03,840000,840000,827000,830000,825115.375,96000
2014-07-04,835000,837000,810000,819000,814180.0625,115476
